timestamp,log_type,message
15.78326,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.79453,Log,Hit Blackzone
15.79453,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.80524,Log,Hit Blackzone
15.80524,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.81621,Log,Hit Blackzone
15.81621,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.82765,Log,Hit Blackzone
15.82765,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.83865,Log,Hit Blackzone
15.83865,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.84988,Log,Hit Blackzone
15.84988,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.86098,Log,Hit Blackzone
15.86098,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.87233,Log,Hit Blackzone
15.87233,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.88502,Log,Hit Blackzone
15.88502,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.89542,Log,Hit Blackzone
15.89542,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.90544,Log,Hit Blackzone
15.90544,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.9168,Log,Hit Blackzone
15.9168,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.92778,Log,Hit Blackzone
15.92778,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.94003,Log,Hit Blackzone
15.94003,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.95061,Log,Hit Blackzone
15.95061,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.96171,Log,Hit Blackzone
15.96171,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.97312,Log,Hit Blackzone
15.97312,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.98388,Log,Hit Blackzone
15.98388,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.99477,Log,Hit Blackzone
15.99477,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.00654,Log,Hit Blackzone
16.00654,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.01733,Log,Hit Blackzone
16.01733,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.02885,Log,Hit Blackzone
16.02885,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.03991,Log,Hit Blackzone
16.03991,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.051,Log,Hit Blackzone
16.051,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.06201,Log,Hit Blackzone
16.06201,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.07387,Log,Hit Blackzone
16.07387,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.08613,Log,Hit Blackzone
16.08613,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.09581,Log,Hit Blackzone
16.09581,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.10688,Log,Hit Blackzone
16.10688,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.11796,Log,Hit Blackzone
16.11796,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.12911,Log,Hit Blackzone
